25,152,Monday - Saturday,,2,,ffaa00,0,http://www.rabaride.com/routes/2.html,152
25,151,Monday - Saturday,,1,,d20055,ffffff,http://www.rabaride.com/routes/1.html,151
25,153,Monday - Saturday,,3,,0096ce,ffffff,http://www.rabaride.com/routes/3.html,153
25,155,Monday - Saturday,,5,,1ad1ff,0,http://www.rabaride.com/routes/5.html,155
25,156,Monday - Saturday,,6,,fe001a,ffffff,http://www.rabaride.com/routes/6.html,156
25,157,Monday - Saturday,,7,,fbff02,0,http://www.rabaride.com/routes/7.html,157
25,158,Monday - Saturday,,9,,1f18b1,ffffff,http://www.rabaride.com/routes/9.html,158
25,159,Monday - Saturday,,11,,00948d,ffffff,http://www.rabaride.com/routes/11.html,159
25,160,Monday - Saturday,,14,,03bf75,ffffff,http://www.rabaride.com/routes/14.html,160
25,161,Monday - Friday,,,Burney Express,ff0000,ffffff,http://www.rabaride.com/routes/burneyexpress.html,161
25,154,Monday - Saturday,,4,,00519e,ffffff,http://www.rabaride.com/routes/4.html,154
25,1093,Monday - Saturday,,,Airport Express,0,ffffff,http://www.rabaride.com/routes/airportexpress.html,1093
25,1886,Monday - Saturday,,2W,,,,,1886
25,1887,Monday - Saturday,,2E,,,,,1887
25,1888,Monday - Saturday,,6N,,,,,1888
25,1889,Monday - Saturday,,6S,,,,,1889
25,1885,Monday - Friday,,,School Express,,,,1885
